날짜,서울 강남구,서울 노원구,경기 성남시,경기 수원시,인천 연수구
2013.04,1038.8724894307031,430.51555747488015,544.0319636186994,324.7192370338431,294.66709998940786
2013.05,1040.8788824696094,429.27723747327394,544.0105966259365,324.5092305270272,293.98830917162513
2013.06,1037.9355234290874,427.83531081926736,544.1828173132277,324.0577066562975,293.7124490343091
2013.07,1030.0517947784049,425.2873678541662,543.9229928508921,323.66440414780584,293.99398401791944
2013.08,1026.033847331831,422.5239126375691,542.5872628565053,322.72090073621047,294.018947782655
2013.09,1028.777509610518,422.7553792320157,540.3692427424106,322.6890262813828,292.95127852651683
2013.10,1029.2085085129263,422.6895145305604,540.4526995423165,323.9623501519212,292.9430618927435
2013.11,1028.533671603959,423.050262927649,541.450343294181,324.4503026164664,292.74186385890323
2013.12,1030.0954406378928,422.8462535529815,541.2798922440792,324.97258282002764,292.8895320158375
2014.01,1031.5604777874253,422.7921968483104,542.1031570969034,325.24662061154663,292.8180286029347
2014.02,1036.4879628450994,422.68146636339793,543.0584260176331,325.2963532707905,293.27742523630764
2014.03,1045.243399318735,423.7274744616036,547.2933913724165,326.9765381284851,293.99689654560405
2014.04,1046.1495389289278,424.0318512925599,547.9170426410432,328.2908863447835,294.93502510617566
2014.05,1045.6142099367064,423.6458357351105,548.5467699910076,328.9200441194972,295.8261154915076
2014.06,1047.228820033329,423.4664993458378,549.5921549868915,329.36793530295034,295.1866989995336
2014.07,1048.922085977889,423.593446456229,550.4988423917073,329.7967981365392,295.74343181019293
2014.08,1052.4957542594932,423.434787951824,552.5617655727449,331.52611713982816,296.474538343502
2014.09,1065.4139882306802,426.0070011852563,556.2435979414854,333.1585410751953,299.1545450589649
2014.10,1071.0204290859208,428.0280989775122,558.6706834628105,335.96532408809026,301.21628569505754
2014.11,1072.0813228646068,428.8056576618875,561.1842077000267,336.9654523352464,301.9757930294624
2014.12,1072.913402133106,429.31178994961545,562.4482696491032,338.62181383317795,303.01618521844665
2015.01,1076.853759748512,430.6876657039479,563.2169161386147,339.7181256551261,304.4433571484916
2015.02,1080.874523222005,431.92692562021176,565.2828636027197,341.67096836598813,306.59978138157686
2015.03,1085.004398955633,435.67712119742896,567.5535884057493,343.875758285558,309.8539702613143
2015.04,1090.4251775927569,438.6481428518612,569.8833397234005,346.1639134134955,313.0801392843468
2015.05,1099.0019769833154,439.6757233927517,574.3649111406404,347.31508072692725,315.63744420240647
2015.06,1113.3829016200914,440.52285689716473,576.4591654943421,349.71574118200766,317.44204802297617
2015.07,1122.7495587536866,441.9560013719676,578.7135430560105,351.7056770366355,318.92820367211226
2015.08,1136.0684748281435,444.35398430833135,581.0278394389155,353.26562476748114,320.06700392952143
2015.09,1143.7956159928824,448.20704735668136,583.0451019246866,355.2258660465719,322.3638407993096
2015.10,1152.5787851057669,450.5113124140692,585.1569427713903,356.8144281799628,322.6554082896119
2015.11,1161.363158930464,454.1517590337166,586.8310958223508,358.7066193949166,324.8269250093615
2015.12,1164.16433580715,455.4231867593826,587.9203757757584,358.89318958612404,324.90233744627307
2016.01,1154.90418608136,456.078430834006,588.636281980694,374.40159676042,368.394738455534
2016.02,1155.39231116897,456.741389849873,589.253738168791,374.414357949658,367.951485855696
2016.03,1158.99735671863,461.228134848746,589.330689048975,374.614900651029,368.259093243587
2016.04,1173.7550599611,462.789487233745,589.601012215068,374.703601278054,368.59937436992
2016.05,1187.4192205966,463.875084976512,590.781465048758,374.793058446647,368.53353232621
2016.06,1202.57397043794,464.978564652145,592.090628120268,375.121625670901,368.788326281047
2016.07,1220.18536654548,467.350295724368,595.579101050774,376.148551372053,369.285788248404
2016.08,1234.92537996535,469.907175933175,599.093318829624,376.914312393844,370.800988938937
2016.09,1254.23345781731,474.713270246097,602.466574648305,377.463953380157,372.144671654181
2016.10,1276.78838711556,481.713615569504,607.692187376117,379.540526284391,373.980007925424
2016.11,1290.40527408778,488.019091508103,612.559778183269,381.265467426793,375.953322000385
2016.12,1294.51226975214,489.274787004946,613.653637426223,381.581873000416,377.325034162218
2017.01,1301.30024058132,490.883553884553,614.192318675642,382.235943419383,377.367386620572
2017.02,1303.44940046323,491.746117137628,615.645736657718,382.902311583836,379.012299265144
2017.03,1307.08533083516,493.180123504922,618.444387724589,383.375386979345,379.593187271387
2017.04,1312.00816934255,494.962547574935,620.507086227046,384.030092261009,380.730787904692
2017.05,1330.12842226301,496.4530502788,623.010016114139,384.164528495534,382.219469208029
2017.06,1364.57934022492,504.826689435832,631.2130606555,384.774363390036,383.323788396489
2017.07,1380.46619185901,519.620251286459,639.095982047934,385.409234935336,387.311232699119
2017.08,1418.7178449159,533.080242521478,651.770625692459,386.736214816181,392.859043917121
2017.09,1423.25713606086,536.094655730502,657.967420880144,387.574112967042,394.803816587162
2017.10,1438.92452300686,538.43104805604,664.308312623438,387.766034151434,395.606824625124
2017.11,1458.46395802949,540.049019447935,672.890527902215,388.47951456778,395.911998793354
2017.12,1498.07389619933,541.504556617595,681.828585219001,389.198501956356,395.691078741515
2018.01,1560.35293239522,544.093067466062,704.934828166355,389.694506338329,396.948598860424
2018.02,1608.45950295685,547.052850429324,721.370953702876,391.775180567441,397.105795868836
2018.03,1674.03037827105,553.55503532816,741.984367364793,393.886633050629,397.774348867028
2018.04,1710.11747680404,558.659957294168,756.16396512989,396.109973933585,398.562309288495
2018.05,1704.46165003689,560.632001862376,763.503020149709,396.914391105849,399.089188553735
2018.06,1710.22842097455,562.451417794652,768.764675596036,398.580140693508,399.089188553735
2018.07,1717.60174514214,564.972426774121,772.835634924748,399.560737849763,399.628580666132
2018.08,1744.30552594558,571.583559260401,780.076674114034,400.173184781786,400.507652037214
2018.09,1811.53771090585,608.543138773592,829.754593379942,404.346827643609,400.495249358478
2018.10,1825.44928453627,633.347579927493,850.893230442486,406.479576749663,402.224747166098
2018.11,1833.20301441973,641.995391014402,856.237612928217,408.367398149877,402.540189652573
2018.12,1831.86812615409,645.266016063351,856.154291243688,409.087269761403,402.27895555712
2019.01,1801.03043519023,634.488786288675,827.555585322134,408.424310183691,409.429180459405
2019.02,1790.92084569414,634.831308540915,827.73638626407,408.712863702648,409.745029610354
2019.03,1773.59336374183,634.502307074355,826.402891432909,408.903287206071,409.257294333804
2019.04,1759.76122432808,637.016185920026,824.77149515927,408.96445712673,408.014607866873
2019.05,1758.24025469651,637.20000622234,823.010472297756,409.388439849433,405.942057958305
2019.06,1770.42270789616,638.234259565891,822.885440125618,409.606014656472,402.475017189521
2019.07,1814.53814415093,647.014997168169,826.047877640197,409.750192796018,400.85779624693
2019.08,1853.08327946513,654.096800375652,832.477867610743,409.84025830131,400.621920326865
2019.09,1886.25340946485,658.930334688791,836.888700775913,411.048215849056,401.719662314918
2019.10,1916.39211819604,664.033770893418,843.132522530341,413.093749091783,402.375349855441
2019.11,1900.06209656054,669.798517937951,849.895650864319,417.124842547814,402.531881940274
2019.12,1950.17522805185,678.569410860557,869.65594353566,426.529323425605,404.129567350326
2020.01,1978.66386609872,689.296389721261,883.170463649976,438.284408130314,405.766980167326
2020.02,2002.01258286253,700.931100329238,897.237649650151,461.12771197792,409.296184274257
2020.03,2009.45625438264,721.625328241773,922.220930433143,481.340970060513,424.076207739789
2020.04,2003.82483409233,731.270377991445,930.009630597808,487.511049692832,429.90519796718
2020.05,1994.88261132245,733.111501853683,932.018730725221,490.007672939994,433.148233189773
2020.06,2010.53954801395,747.42337620279,942.555358896623,496.916517969485,441.12215082357
2020.07,2060.81756816968,781.915706749483,970.472237823018,507.307353048352,449.474225193711
2020.08,2097.49848438924,817.299656804485,991.881936770694,514.167718261759,454.706851423228
2020.09,2143.20700213402,847.430389132974,1009.8168136426,524.762986856764,460.01118983125
2020.10,2169.84778352876,862.085578731365,1031.54745693432,528.127897288618,461.454332478086
2020.11,2184.43707105355,886.506722384979,1060.80184200218,537.433290938411,466.238793477613
2020.12,2215.95740306862,902.516873233222,1089.32721540251,545.938832971496,476.909195688242
2021.01,2236.46664708051,926.131128912271,1118.44601031307,556.130645060794,490.460702867812
2021.02,2266.41116460909,957.793657724247,1171.09729909761,575.009042512163,503.360262349559
2021.03,2286.79669894398,983.61803647384,1194.99246807888,597.566002509561,521.068023325822
2021.04,2299.97139344459,999.79445052763,1218.07138983938,613.810692514949,545.17769864622
2021.05,2310.20716635841,1020.3270355369,1231.44427880025,627.061730391462,557.732011789078
2021.06,2334.76379759593,1047.92361229633,1251.81913900031,650.403425762927,577.967008138846
2021.07,2356.02803648483,1065.28319931005,1267.31532913045,668.310799293878,598.629048263037
2021.08,2388.89754645143,1086.65581879935,1283.02516065125,694.745630889007,628.972503478257
2021.09,2423.06504681433,1112.03308285314,1299.41918067583,713.521460071775,663.006800216138
2021.10,2449.59404249724,1121.27152885358,1331.012744540664,736.62818805742,687.926798816274
2021.11,2497.42443646569,1124.72213080008,1366.021908405498,763.1630410430649,701.476966622274
2021.12,2513.35676418039,1127.40805730376,1393.2654063041234,784.7850307822987,718.87706408868
2022.01,2526.75013731157,1129.59002109826,1413.9532047280925,801.278348086724,721.164919982591
2022.02,2532.08376333622,1129.73737733612,1434.360636485395,817.8856987244827,724.861191534764
2022.03,2539.26194235226,1129.58297638662,1442.164789188316,824.0875389795862,726.62048552399
2022.04,2549.54455690548,1128.85311017873,1448.7712713506528,828.7292911836689,726.753065696526
2022.05,2554.57158153839,1128.129086722,1454.9681170805222,831.6238929469351,727.881920798189
2022.06,2564.61978519625,1126.69730676758,1456.4836359418207,832.1365400838062,724.659625224181
2022.07,2575.82781776992,1126.55135423839,1455.253560212366,830.2602174115524,718.611120415212
2022.08,2574.55433829935,1121.50900419024,1447.3925362254392,818.2896772088017,715.612497078034
2022.09,2572.89793771457,1115.41185757062,1429.1022,790.4318,713.774951530451
2022.10,2556.82540699837,1099.40926069569,1409.5992,767.8914,702.158595143419
2022.11,2729.68383379123,1115.12267927631,1426.48097856156,774.498135794773,755.308345249363
2022.12,2704.91008108437,1098.1558019938,1400.72221672557,753.813020682532,729.232358274294
2023.01,2644.66576511434,1068.30176118596,1376.01176752662,727.98481926834,699.678100676957
2023.02,2606.94476555834,1050.08043908025,1354.6371992235,719.19991973024,677.328651428914
2023.03,2596.22725291688,1026.88588769242,1333.9725859042,708.010016775672,659.677740128525
2023.04,2586.6210018364,1016.2599706637,1304.63754115757,697.162651317845,647.117562703347
2023.05,2586.42714581542,1005.97574087099,1300.29573250543,692.703660112207,643.45770950173
2023.06,2594.97807147968,1000.43758602879,1300.32634415255,691.442470506159,649.698100649041
2023.07,2606.87443176843,991.095044191884,1302.78047862672,690.115152326053,650.030042020391
2023.08,2622.47742943411,986.60893578692,1308.33957890116,697.649249664852,651.763819062516
2023.09,2649.4724056601,985.86925479248,1315.12787130934,694.764083716975,653.752995344752
2023.10,2662.405459447,987.702304973548,1319.41811686692,696.534498040847,655.709639971384
2023.11,2671.78534989132,984.28162931892,1320.57365850948,697.814274345094,656.403693119637
2023.12,2665.93003090886,981.650608139801,1321.2979131091,698.509660106965,655.240452854838
2024.01,2664.81622117754,978.526197582097,1319.04104292607,698.588301612312,654.719967572756
2024.02,2665.02493867032,976.307983115662,1317.97848809364,698.474666264309,654.249260471128
2024.03,2662.86910950442,974.032491283139,1317.42116258069,697.871008523017,656.479252441989
2024.04,2663.06480780697,970.271707473831,1316.38761549347,697.86041950787,655.809277059393
2024.05,2667.9043855664,968.408119646716,1316.08401958789,698.125553821724,655.140097329739
2024.06,2674.77890425097,967.258308244624,1317.35033991516,703.935979908614,655.120575927978
2024.07,2708.8663962442,958.000546642038,1328.61326005954,709.787173925614,654.985045588251
2024.08,2757.16400775927,951.167925290566,1340.96649031985,717.844249653256,654.900483585334
2024.09,2810.25391440579,953.823158576968,1355.25525981755,724.466817857957,655.361765717457
2024.10,2847.39573665436,955.553585473653,1363.79355438546,728.436257651529,656.256720223165
2024.11,2865.59544061989,956.123746753871,1369.10762833465,730.624774106388,659.423055907673
2024.12,2892.79061362805,956.213288712602,1374.90534130014,732.310879842506,661.420109856672
2025.01,2914.78811637942,955.652484368163,1377.8585921826,732.367982925803,660.997071223112
2025.02,2933.00307338359,954.759853111262,1379.88596318612,732.178692370235,659.508992298815
2025.03,3019.03387358549,954.690113055382,1383.76810207822,733.02638608937,659.023928124994
2025.04,3191.26070617288,954.455500875505,1393.54739528954,735.417587377807,658.377683564863
2025.05,3264.04510809735,956.706739721513,1403.47615157543,738.083299043269,664.026356255514
2025.06,3429.94726972947,957.390535958296,1428.77125391383,739.966891140857,663.910140746537
2025.07,3483.55427771691,962.377758454611,1453.95097496963,743.758006176171,663.922035239175
2025.08,3534.88211994075,964.023787367774,1465.15786121142,745.266702482248,664.249636347811
2025.09,3576.73118514677,968.474590955419,1489.52243470763,747.26942856502,664.321112551461
2025.10,3623.4062703002,972.188781303178,1543.3133872987,749.217406255295,664.3054058058
2025.11,3669.87567295514,979.446884932738,1597.77476019037,755.483633769641,664.636340499299
2025.12,3716.69871330934,982.722775370505,1633.2815888339,763.101682999158,668.301400885218
2026.01,3753.21333910523,989.297040941411,1649.5940553915,766.774944227949,669.161013258791
2026.02,3771.22572698187,1004.16041440244,1685.66281558165,772.206147194254,671.249404519421
2026.03,3757.99510236494,1026.46110521209,1715.37772629069,780.630489482795,676.582636281318
2026.04,3740.07965269867,1036.99481923291,1736.39914361095,787.923927067906,677.93882975668
2026.05,3718.57309041129,1047.79872661269,1757.57395664086,795.435397803019,678.311167519666
